property_title,availability_number,promotion_label,property_type,bedrooms,bathrooms,furnish_type,apart_size,rating,city,capacity,price,currency,date,month,day,year,quarter,rental_period
Great Choice Studio Green Pramuka City Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,4.9,Cempaka Putih,2.0,4440000,IDR,2025-01-16,1,16,2025,1,monthly
Fully Furnished 2BR Bassura City Apartment with Mall View By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,34 sqm,4.9,Cipinang,4.0,5500000,IDR,2025-01-16,1,16,2025,1,monthly
Relaxing Studio at 19th Floor Tokyo Riverside PIK 2 Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,1.0,3190000,IDR,2025-01-16,1,16,2025,1,monthly
Best Homey and Nice 2BR at 31th Floor Puri Casablanca Apartment By Travelio,1.0,tidak ada promo,Apartment,2,2,Full Furnished,109 sqm,New,Casablanca,4.0,13540000,IDR,2025-01-16,1,16,2025,1,monthly
Scenic and Homey Studio at Mangga Dua Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,26 sqm,4.9,Mangga Dua,2.0,4540000,IDR,2025-01-16,1,16,2025,1,monthly
High Floor and Minimalist Studio at Puri Mansion Apartment By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,26 sqm,5.0,Kembangan,2.0,3700000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished 2BR with AC Apartment Grand Emerald By Travelio,1.0,Limited Time,Apartment,2,1,Unfurnished,35 sqm,0,Kelapa Gading,0.0,2935500,IDR,2025-01-16,1,16,2025,1,monthly
LeGreen Suite Tebet,1.0,Diskon hingga 9%,Hotel,Studio,1,Full Furnished,21 sqm,0,Tebet,0.0,3300000,IDR,2025-01-16,1,16,2025,1,monthly
Strategic and Comfy 2BR at Green Pramuka City Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,33 sqm,5.0,Cempaka Putih,4.0,5240000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist and Restful 2BR at Green Pramuka City Apartment By Travelio,1.0,New,Apartment,2,1,Full Furnished,33 sqm,New,Cempaka Putih,3.0,5190000,IDR,2025-01-16,1,16,2025,1,monthly
Elegant and Comfort Studio Kebayoran Icon Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,26 sqm,5.0,Kebayoran Lama,2.0,7850000,IDR,2025-01-16,1,16,2025,1,monthly
2BR Pancoran L'Avenue Comfy Apartment By Travelio,2.0,Favourite,Apartment,2,1,Full Furnished,65 sqm,5.0,Pancoran,4.0,15985000,IDR,2025-01-16,1,16,2025,1,monthly
Modern and Cozy Stay 1BR at Tamansari Semanggi Apartment By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,47 sqm,5.0,Semanggi,2.0,8440000,IDR,2025-01-16,1,16,2025,1,monthly
Homey 2BR Apartment at Casa Grande Residence By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,67 sqm,5.0,Casablanca,4.0,17740000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished Studio Apartment with AC at Green Palm Residence By Travelio,1.0,GOOD DEAL,Apartment,1,1,Unfurnished,21 sqm,0,Cengkareng,0.0,2090000,IDR,2025-01-16,1,16,2025,1,monthly
Room Exclusive at Pasar Minggu,1.0,tidak ada promo,Hotel,Studio,1,Full Furnished,14 sqm,0,Kebayoran Lama,0.0,3500000,IDR,2025-01-16,1,16,2025,1,monthly
